ID,Vacancy_name,Salary,Experience,Company_name,Location
1,Инженер ПТО,от 350 000 ₸ на руки,Опыт 3-6 лет,ТОО ENGINEERING AND CONSTRUCTION GROUP,Астана
2,Инженер ПТО,350 000 – 400 000 ₸ на руки,Опыт 3-6 лет,ТОО АМК-Метиз,Алматы
3,Помощник главного инженера,,Опыт 3-6 лет,ТОО Profland-RT,Караганда
4,Инженер ОВ и ВК,,Опыт 1-3 года,ТОО Hidaya Corporation,Алматы
5,Инженер-проектировщик,,Опыт 3-6 лет,ТОО Profland-RT,Караганда
6,Начинающий инженер,350 000 – 750 000 ₸ на руки,Без опыта,ТОО Турков Казахстан,Астана
7,Инженер,400 000 – 600 000 ₸ на руки,Опыт 3-6 лет,ТОО АТМОСФЕР ВЕНТ,Алматы
8,Инженер-конструктор,от 500 000 ₸ на руки,Без опыта,ТОО IDC (АйДиСи),Алматы
9,Инженер-конструктор,250 000 – 550 000 ₸ на руки,Без опыта,ТОО АЛЮМИНСТРОЙ КАЗАХСТАН,Астана
10,Инженер производственного отдела,от 400 000 ₸ на руки,Опыт 3-6 лет,ТОО Производственное объединение ASCOR,Павлодар
11,Инженер-конструктор,от 400 000 ₸ на руки,Опыт 1-3 года,ТОО ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ LKW,Алматы
12,Инженер в ресторан,до 500 000 ₸ на руки,Опыт 1-3 года,ИП Ахметов Парвиз,Алматы
13,Инженер-конструктор (Астана),от 443 000 ₸ до вычета налогов,Опыт 1-3 года,Акустик Групп,Астана
14,Инженер (Технический специалист) по подбору насосного и гидравлического оборудования,500 000 – 1 000 000 ₸ на руки,Без опыта,ТОО Simax Solution,Алматы
15,Инженер ПТО / Технический Директор,500 000 – 800 000 ₸ на руки,Опыт 3-6 лет,ТОО International Education Council,Астана
16,Инженер ПТО,500 000 – 650 000 ₸ на руки,Опыт 3-6 лет,ТОО FS Development Group,Астана
17,Инженер,220 000 – 300 000 ₸ до вычета налогов,Без опыта,Гос. корп. Территориальный департамент Комитета атомного и энергетического надзора и контроля Министерства энергетики Республики Казахстан по Акмолинской области,Кокшетау
18,Инженер ПТО,от 450 000 ₸ на руки,Опыт 1-3 года,ТОО Meiram Kurylys,Алматы
19,Инженер ПТО,400 000 – 500 000 ₸ на руки,Опыт 3-6 лет,ТОО Golden City DS,Алматы
20,Инженер ПТО,от 500 000 ₸ на руки,Опыт 1-3 года,ТОО ПРИМА-КОНСТРАКШН,Алматы
21,Инженер ПТО,от 350 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО BR Stroy Service,Павлодар
22,Инженер по эксплуатации зданий,от 400 000 ₸ на руки,Опыт 3-6 лет,ТОО Colliers Kazakhstan,Алматы
23,Инженер ОТ и ТБ,350 000 – 350 000 ₸ на руки,Опыт 1-3 года,CHINA HYWAY GROUP LIMITED,Семей
24,Инженер по строительству,,Опыт 3-6 лет,Некоммерческое акционерное общество Алматинский университет энергетики и связи имени Гумарбека Даукеева,Алматы
25,Инженер-конструктор,350 000 – 600 000 ₸ на руки,Опыт 1-3 года,ТОО WSE,Алматы
26,Инженер/техник ПТО,140 000 – 170 000 ₽ на руки,Без опыта,ЗАО ЭнергоСтрой,Кульсары
27,Инженер ПТО,от 500 000 ₸ на руки,Опыт 1-3 года,ТОО SMARTfacade,Алматы
28,Инженер по производству в насосную компанию,450 000 – 500 000 ₸ на руки,Опыт 3-6 лет,ТОО Technical Engineering Support Company (TESCO),Алматы
29,Инженер-Аудитор ПТО,600 000 – 600 000 ₽ на руки,Опыт более 6 лет,ТОО Құрылысшы LTD,Астана
30,Инженер ПТО,350 000 – 400 000 ₸ на руки,Опыт 1-3 года,ТОО LEDIN,Астана
31,Сервисный инженер,400 000 – 600 000 ₸ на руки,Опыт 3-6 лет,ТОО TapTatti Retail,Астана
32,Инженер-конструктор,350 000 – 600 000 ₸ на руки,Опыт 1-3 года,ТОО WSE,Астана
33,Инженер по техобслуживанию и эксплуатации автоматики,,Опыт 1-3 года,ТОО ПРОФИТ,Алматы
34,Инженер по эксплуатации,350 000 – 400 000 ₸ до вычета налогов,Опыт 1-3 года,ЧК BI Development Ltd.,Астана
