ID,Vacancy_name,Salary,Experience,Company_name,Location
1,Менеджер по маркетингу,500 000 – 600 000 ₸ на руки,Опыт 1-3 года,ТОО Бизнес парк Станица,Алматы
2,Маркетолог в авиационный консалтинг (упаковка продукта и контент-стратегия),400 000 – 1 000 000 ₸ на руки,Опыт 3-6 лет,ТОО Trip Market Group,Алматы
3,Маркетолог,350 000 – 400 000 ₸ на руки,Опыт 3-6 лет,ТОО Империя красоты Анели,Алматы
4,Менеджер по маркетингу и PR,,Опыт 3-6 лет,ТОО ВЕГ Центральная Азия,Алматы
5,SMM-маркетолог,от 300 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО АРБ-Казахстан,Алматы
6,Маркетолог,,Опыт 3-6 лет,ТОО AMANAT GENERATION,Алматы
7,Маркетолог,600 000 – 1 000 000 ₸ на руки,Опыт 3-6 лет,ТОО Клиника доктора Кобландина,Астана
8,Маркетолог,700 000 – 1 000 000 ₸ на руки,Опыт 1-3 года,ТОО ZHANKARAS,Алматы
9,Маркетолог,350 000 – 500 000 ₸ на руки,Без опыта,ТОО АЛМА ВЕНТ,Алматы
10,МАРКЕТОЛОГ,,Опыт 3-6 лет,ТОО KazPan (КазПан),Астана
11,Креативный маркетолог,до 500 000 ₸ на руки,Опыт 3-6 лет,ТОО АМАНАТ МЕД АКАДЕМИ,Алматы
12,Маркетолог,500 000 – 1 000 000 ₸ на руки,Опыт 3-6 лет,ТОО AstAvto,Астана
13,Маркетолог,от 300 000 ₸ на руки,Без опыта,ТОО Morrison Code Academy,Алматы
14,Маркетолог,от 500 000 ₸ на руки,Опыт 3-6 лет,ТОО GT oil service,Алматы
15,Маркетолог-аналитик,от 500 000 ₸ до вычета налогов,Без опыта,ТОО Стальная Федерация,Алматы
16,Маркетолог,от 500 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО Щелково Агрохим - KZ,Астана
17,Маркетолог,235 000 – 270 000 ₽ на руки,Опыт 1-3 года,Atlantis Travel & Tourism LTD,Астана
18,Помощник маркетолога,300 000 – 400 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Актуаль Клуб Оптика ЛТД,Алматы
19,Маркетолог,500 000 – 500 000 ₸ на руки,Опыт 3-6 лет,ТОО Beauty Style,Алматы
20,Маркетолог,235 000 – 270 000 ₽ на руки,Опыт 1-3 года,Atlantis Travel & Tourism LTD,Алматы
21,Маркетолог,300 000 – 800 000 ₸ на руки,Опыт 3-6 лет,ТОО ABRICOZ,Актобе
22,Менеджер по маркетингу и PR,,Опыт 1-3 года,ТОО KAZNKS GROUP,Астана
23,Маркетолог в IT-компанию ТОО MacDent,500 000 – 1 000 000 ₸ до вычета налогов,Опыт 3-6 лет,ТОО MacDent,Астана
24,Маркетолог,300 000 – 500 000 ₸ на руки,Опыт 1-3 года,ТОО SAHAR&VOSK Almaty,Алматы
25,Менеджер по маркетингу,от 400 000 ₸ на руки,Опыт 1-3 года,ТОО Wellness Solutions,Алматы
26,Маркетолог,300 000 – 300 000 ₸ до вычета налогов,Опыт 1-3 года,Тойота Центр / Лексус Центр (ТОО Автоцентр Актобе),Актобе
27,Маркетолог,от 400 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО BURЖУЙ,Павлодар
28,Маркетолог,400 000 – 400 000 ₸ на руки,Без опыта,ТОО Завод Агротех,Алматы
29,Директор по маркетингу,800 000 – 1 000 000 ₸ на руки,Опыт более 6 лет,ТОО СемМед,Алматы
30,Инфлюенс-маркетолог/influence-маркетолог,,Опыт 1-3 года,BORK,Алматы
31,Маркетолог,от 400 000 ₸ на руки,Опыт 3-6 лет,ИП Global Inst,Костанай
32,Senior Маркетолог,600 000 – 1 000 000 ₸ до вычета налогов,Опыт 1-3 года,ИП aoe.kz,Алматы
33,Креативный маркетолог,500 000 – 1 000 000 ₸ на руки,Опыт 3-6 лет,ИП Мокеева В. О.,Астана
34,Маркетолог,400 000 – 500 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО Архиформа-эксперт,Алматы
35,Менеджер по маркетингу,от 400 000 ₸ до вычета налогов,Опыт 1-3 года,ИП Мнацаканьян (ТМ GA-DE и NINELLE),Алматы
36,Маркетолог,400 000 – 450 000 ₸ до вычета налогов,Опыт 1-3 года,ТОО LuxEst,Алматы
37,Маркетолог (Junior),от 300 000 ₸ на руки,Опыт 1-3 года,ТОО LiON Restaurants (ЛиОН Рестораны),Алматы
38,Маркетолог,от 400 000 ₸ на руки,Опыт 3-6 лет,ТОО Pulsar Systems,Астана
39,Маркетолог,500 000 – 750 000 ₸ на руки,Опыт 3-6 лет,ТОО TALMAY (ТАЛМАЙ),Алматы
40,Ассистент маркетолога в онлайн-школу,130 000 – 180 000 ₸ на руки,Без опыта,ИП Лаззатова (Edubuh),Астана
41,Трейд-маркетолог,от 500 000 ₸ на руки,Опыт 1-3 года,ТОО SATURN DISTRIBUTION (САТУРН ДИСТРИБЬЮШН),Алматы
42,Маркетолог в развлекательный центр,от 500 000 ₸ на руки,Опыт 3-6 лет,ТОО Qazaq Stroy,Алматы
43,Маркетолог | Marketing specialist,1 000 – 2 000 $ на руки,Опыт 3-6 лет,ТОО Flyeng,Астана
44,Маркетолог с навыками СММ,400 000 – 500 000 ₸ на руки,Опыт 1-3 года,ИП Omir,Актау
