Population by region,,,all,density
,urban population,rural population,,
Abay,370.746,239.452,610.198,3.29
Akmola,441.997,346.016,788.013,5.38
Aktobe,692.467,235.692,928.159,3.08
Almaty,295.211,1210.685,1505.896,14.24
Atyrau,382.459,310.62,693.079,5.81
Batys Kazakhstan,386.803,301.324,688.127,4.54
Zhambyl,526.938,691.22,1218.158,8.43
Zhetisu,310.599,388.127,698.726,5.9
Karagandy,922.654,212.201,1134.855,4.74
Kostanay,515.257,316.977,832.234,4.25
Kyzylorda,391.207,442.459,833.666,3.68
Mangystau,346.958,420.148,767.106,4.6
Pavlodar,532.886,222.058,754.944,6.05
Soltustik Kazakhstan,258.935,275.169,534.104,5.46
Turkistan,523.315,1595.909,2119.224,18.18
Ulytau,175.1,46.321,221.421,1.17
Shygys Kazakhstan,483.403,246.835,730.238,7.48
Astana city,1354.559,0,1354.559,1682.29
Almaty city,2161.901,0,2161.901,3148.26
Shymkent city,1192.199,0,1192.199,1018.15
