ID,Vacancy_name,Salary,Experience,Company_name,Location
402,Руководитель направления продаж ПК (B2B|B2C),11000000.0,Опыт 3-6 лет,ТОО ARYSTAN IT GROUP,Алматы
764,Ведущий менеджер по продажам LED B2B|B2C,11000000.0,Опыт 3-6 лет,ТОО ARYSTAN IT GROUP,Алматы
689,Ведущий менеджер по продажам B2G,11000000.0,Опыт 3-6 лет,ТОО ARYSTAN IT GROUP,Алматы
354,Руководитель направления продаж LED (B2B|B2C),11000000.0,Опыт 3-6 лет,ТОО ARYSTAN IT GROUP,Алматы
195,Менеджер по продажам B2G,8250000.0,Опыт 1-3 года,ТОО ARYSTAN IT GROUP,Алматы
921,Менеджер отдела продаж металлопроката,5000000.0,Опыт 1-3 года,ТОО AST Group Company,Астана
867,Менеджер отдела продаж металлопроката,5000000.0,Опыт 1-3 года,ТОО AST Group Company,Астана
1907,Менеджер по продажам недвижимости,4250000.0,Опыт 1-3 года,ТОО Этажи,Астана
1565,Менеджер по продажам,4094000.0,Без опыта,ТОО Этажи,Астана
769,Стоматолог хирург / имплантолог,3750000.0,Опыт 3-6 лет,ТОО СТОМАТОЛОГИЧЕСКИЙ ЦЕНТР ИМПЛАНТ ПРОФИ,Алматы
426,Стоматолог хирург / имплантолог,3750000.0,Опыт 3-6 лет,ТОО СТОМАТОЛОГИЧЕСКИЙ ЦЕНТР ИМПЛАНТ ПРОФИ,Алматы
428,Стоматолог хирург / имплантолог,3750000.0,Опыт 3-6 лет,ТОО СТОМАТОЛОГИЧЕСКИЙ ЦЕНТР ИМПЛАНТ ПРОФИ,Астана
752,Стоматолог хирург / имплантолог,3750000.0,Опыт 3-6 лет,ТОО СТОМАТОЛОГИЧЕСКИЙ ЦЕНТР ИМПЛАНТ ПРОФИ,Астана
473,Менеджер по оптовым продажам,3600000.0,Опыт 1-3 года,ТОО ГК ИНТЕРСТИЛС,Астана
1313,Менеджер по оптовым продажам,3600000.0,Опыт 1-3 года,ТОО ГК ИНТЕРСТИЛС,Астана
804,Менеджер по работе с клиентами (b2b),3150000.0,Без опыта,ИП Сагадинов А.А,Алматы
331,Генеральный директор (дистрибуция),3000000.0,Опыт более 6 лет,ТОО ABIS Investments,Алматы
1159,Менеджер по продажам в IT компанию,3000000.0,Без опыта,ТОО Artson Build Invest (RSS),Астана
817,Head of engineering,3000000.0,Опыт более 6 лет,Teez,Алматы
289,Head of engineering,3000000.0,Опыт более 6 лет,Teez,Алматы
1809,Менеджер по продажам в IT компанию,3000000.0,Без опыта,ТОО Artson Build Invest (RSS),Астана
1058,Head of engineering,3000000.0,Опыт более 6 лет,Teez,Алматы
316,Генеральный директор (дистрибуция),3000000.0,Опыт более 6 лет,ТОО ABIS Investments,Алматы
24,Менеджер по оптовым продажам металлопроката,2975000.0,Без опыта,ТОО Кронос-М,Астана
741,Менеджер отдела региональных продаж,2675000.0,Опыт 1-3 года,ТОО Сталь Электро,Алматы
92,Менеджер по продажам,2625000.0,Без опыта,ТОО АГЕНТСТВО НЕДВИЖИМОСТИ МЕЧТА,Алматы
1104,Менеджер по продажам,2600000.0,Опыт 3-6 лет,ТОО Mega SMART,Астана
603,Менеджер по продажам,2600000.0,Опыт 1-3 года,ТОО Сталепромышленная компания Астаны,Астана
1997,Менеджер по продажам страховых продуктов,2575000.0,Опыт 1-3 года,АО Страховая компания Сентрас Иншуранс,Алматы
685,Начальник производства,2500000.0,Опыт более 6 лет,ТОО AQUA Кип Engineering,Алматы
545,Начальник производства,2500000.0,Опыт более 6 лет,ТОО AQUA Кип Engineering,Алматы
911,Менеджер по продажам недвижимости,2375000.0,Без опыта,ТОО АГЕНТСТВО НЕДВИЖИМОСТИ МЕЧТА,Алматы
403,Ведущий менеджер по продажам трубопроводной арматуры,2250000.0,Опыт 1-3 года,ТОО ТеплоТехСнаб,Алматы
900,Менеджер по продажам,2165000.0,Опыт 1-3 года,ТОО CemEX Engineering,СКО
869,Менеджер по продажам,2165000.0,Опыт 1-3 года,ТОО CemEX Engineering,ВКО
116,Менеджер по продажам,2165000.0,Опыт 1-3 года,ТОО CemEX Engineering,СКО
144,Менеджер по продажам,2165000.0,Опыт 1-3 года,ТОО CemEX Engineering,Акмолинская область
200,Менеджер по продажам,2165000.0,Опыт 1-3 года,ТОО CemEX Engineering,ВКО
896,Менеджер по продажам,2165000.0,Опыт 1-3 года,ТОО CemEX Engineering,Акмолинская область
619,Менеджер по продажам водорастворимых удобрений,2150000.0,Опыт 3-6 лет,ТОО CemEX Engineering,Павлодарская область
884,Менеджер по продажам водорастворимых удобрений,2150000.0,Опыт 3-6 лет,ТОО CemEX Engineering,Павлодарская область
1043,Менеджер по продажам (теплые клиенты),2125000.0,Опыт 1-3 года,ТОО СТОМАТОЛОГИЧЕСКИЙ ЦЕНТР ИМПЛАНТ ПРОФИ,Алматы
